State,LGA,Ward,OUTRnd,Settlementno,Settlement1,Settlement2,Settlement3,totSeet3,totMist3,totSeet1,totSeet2,totMist1,totMist2,OutCode,numberof Locations,Unvaccinated this round,0to9mth Seen,0to9mth notMarked,0to23mth Seen,0to23mth notMarked,24to59mth Seen,24to59mth notMarked,TOTAL Seen,TOTAL Notmarked,IsmainRnd,Settlement4,Settlement5,Settlement6,totSeet4,totMist4,totSeet5,totSeet6,totMist5,totMist6
Abia,Aba North,Ariaria,1-Feb-13,2,GASSLINE,SAMEK,,0,0,40,40,11,7,AbiaAba NorthAriaria01/02/2013,4,0,0,0,33,11,47,7,80,18,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Ariaria,1-Mar-13,0,OLD EXPRESS/OGBONNAYA ROAD,POWER LINE/OLD EXPRESS,,0,0,40,40,0,0,AbiaAba NorthAriaria01/03/2013,0,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Eziama  Ward,1-Feb-13,2,EZIAMA,NWEKE,,0,0,40,40,7,5,AbiaAba NorthEziama  ward01/02/2013,4,0,0,0,34,8,46,4,80,12,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Industrial,1-Feb-13,2,Independence,Umunya,,0,0,40,40,4,7,AbiaAba NorthIndustrial01/02/2013,4,0,0,0,33,4,47,7,80,11,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Industrial,1-Mar-13,2,ANYAUMUNNA,AMA AHUKANNA,,0,0,40,40,0,6,AbiaAba NorthIndustrial01/03/2013,4,0,0,0,32,5,48,1,80,6,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Ogbor 1,1-Feb-13,2,Ezimba,Umuoba,,0,0,40,40,12,10,AbiaAba NorthOgbor 101/02/2013,4,0,0,0,35,7,45,15,80,22,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Ogbor 1,1-Mar-13,2,UKAEGGBU ROAD,UKAEGBU CLOSE,,0,0,40,46,6,3,AbiaAba NorthOgbor 101/03/2013,4,0,0,0,38,9,48,0,86,9,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Ogbor 2,1-Mar-13,2,Azuka,Ovom street,,0,0,40,40,0,0,AbiaAba NorthOgbor 201/03/2013,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Old Gra,1-Mar-13,2,ekenna,margret avenue,,0,0,40,40,0,1,AbiaAba NorthOld GRA01/03/2013,4,0,0,0,32,0,48,1,80,1,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Osusu 1,1-Mar-13,2,OKWU AVENUE/IKONNE STREET,SACRED HEART/FAULKS ROAD,,0,0,40,40,0,0,AbiaAba NorthOsusu 101/03/2013,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,St. Eugene,1-Feb-13,2,Okeiyi Avenue,Ngozi Avenue,,0,0,40,40,1,1,AbiaAba NorthSt. Eugene01/02/2013,4,0,0,0,32,0,48,2,80,2,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Umuogor,1-Feb-13,2,Okwuonu,Obinna,,0,0,40,40,0,0,AbiaAba NorthUmuogor01/02/2013,4,0,0,0,40,0,40,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Umuogor,1-Mar-13,3,OKWUONU,OBINNA/ANUMADU,,0,0,40,40,1,1,AbiaAba NorthUmuogor01/03/2013,4,0,0,0,35,1,45,1,80,2,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Umuola,1-Feb-13,2,Umuobasi Estate,Harde Drive,,0,0,40,40,0,0,AbiaAba NorthUmuola01/02/2013,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Umuola,1-Mar-13,3,ONYE IKE/GLASS INDUSTRIAL LANE,EGBELU UKWUDARA,,0,0,40,40,5,3,AbiaAba NorthUmuola01/03/2013,4,0,0,0,36,5,44,3,80,8,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Uratta,1-Feb-13,2,Uratta Road,Umuokwuru,,0,0,40,40,0,0,AbiaAba NorthUratta01/02/2013,4,0,0,0,40,0,40,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Aba River,1-Feb-13,2,Ngwa  Road,Danfodio,,0,0,40,40,0,0,AbiaAba SouthAba River01/02/2013,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Aba River,1-Mar-13,2,Ehi Road,Cliford Road,,0,0,40,40,4,2,AbiaAba SouthAba River01/03/2013,4,0,0,0,35,5,45,1,80,6,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Asa,1-Feb-13,2,Azikewe Rd,market rd,,0,0,40,40,2,2,AbiaAba SouthAsa01/02/2013,4,0,0,0,40,3,40,1,80,4,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Ekeoha,1-Feb-13,2,Asa Triangle,Ehi Road,,0,0,40,40,0,0,AbiaAba SouthEkeoha01/02/2013,4,0,0,0,40,0,40,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Elu Ohazu,1-Mar-13,2,Umuagogo,Emerehara Ibe,,0,0,40,40,5,2,AbiaAba SouthElu Ohazu01/03/2013,4,0,0,0,36,3,44,7,80,10,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Eyimba,1-Feb-13,2,Furo street,crystal park,,0,0,40,40,3,0,AbiaAba SouthEyimba01/02/2013,4,0,0,0,40,3,40,0,80,3,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Eziukwu 2 (Park Ward),1-Feb-13,2,IKPEAMAEZE,OMUMAROAD,,0,0,20,20,0,0,AbiaAba SouthEziukwu 2 (Park Ward)01/02/2013,4,0,0,0,20,0,20,0,40,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Eziukwu 2 (Park Ward),1-Mar-13,2,Adindu/frank Road,Omuma Road,,0,0,40,40,4,3,AbiaAba SouthEziukwu 2 (Park Ward)01/03/2013,4,0,0,0,21,6,59,1,80,7,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Glocester,1-Mar-13,2,azikiwe Rd,Pound Rd,,0,0,40,40,4,4,AbiaAba SouthGlocester01/03/2013,4,0,0,0,32,4,48,4,80,8,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Iheorji,1-Feb-13,2,Ihie orji,Akwaeze,,0,0,40,40,0,0,AbiaAba SouthIheorji01/02/2013,4,0,0,0,35,0,45,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Iheorji,1-Mar-13,2,Ejinaka,Ngwa Road,,0,0,40,40,0,0,AbiaAba SouthIheorji01/03/2013,4,0,0,0,40,0,40,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Mosque,1-Feb-13,2,AZIKIWE,EHI ROAD,,0,0,40,40,1,3,AbiaAba SouthMosque01/02/2013,4,0,0,0,20,1,20,0,40,1,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Ngwa 1,1-Feb-13,2,Igwebuike,Okoro,,0,0,40,40,5,0,AbiaAba SouthNgwa 101/02/2013,4,0,0,0,40,2,40,3,80,5,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Okporo Enyi,1-Mar-13,2,umuebke,eziukwu,,0,0,40,40,12,13,AbiaAba SouthOkporo Enyi01/03/2013,4,0,0,0,32,12,48,13,80,25,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Umuogele,1-Mar-13,2,Umunwoko,Umunwasuru,,0,0,40,40,4,3,AbiaAba SouthUmuogele01/03/2013,4,0,0,0,25,4,55,3,80,7,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Arochukwu 1,1-Feb-13,2,BARRACKS,AGBAWU,,0,0,20,19,2,0,AbiaArochukwuArochukwu 101/02/2013,4,0,0,0,39,2,38,1,77,3,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Arochukwu 2,1-Feb-13,2,Obinkita,Ugwuavo,,0,0,40,40,1,0,AbiaArochukwuArochukwu 201/02/2013,4,0,0,0,34,1,46,0,80,1,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Arochukwu 2,1-Mar-13,2,Amaoba,Amankwu,,0,0,40,40,0,0,AbiaArochukwuArochukwu 201/03/2013,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Eleoha Ihe 1,1-Mar-13,2,Umuchiakuma,Amamiri,,0,0,40,40,1,1,AbiaArochukwuEleoha Ihe 101/03/2013,4,0,0,0,38,1,42,1,80,2,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Eleoha Ihe 2,1-Feb-13,2,AMAFIA,ACHARA,,0,0,20,20,0,0,AbiaArochukwuEleoha Ihe 201/02/2013,4,0,0,0,40,3,40,0,80,3,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Eleoha Ihe 2,1-Mar-13,2,Achara,Amafia,,0,0,40,40,0,1,AbiaArochukwuEleoha Ihe 201/03/2013,4,0,0,0,38,1,42,0,80,1,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Eleoha Ututu,1-Feb-13,2,amankwu,mkpakpi,,0,0,40,40,3,3,AbiaArochukwuEleoha Ututu01/02/2013,4,0,0,0,32,1,48,5,80,6,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Etiti  Abam,1-Mar-13,2,Atan Abam,Ndi Okoro,,0,0,40,40,0,0,AbiaArochukwuEtiti  Abam01/03/2013,4,0,0,0,38,0,42,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Ikwunihe 2,1-Feb-13,2,ndi akwara,ama ogurisi,,0,0,40,40,7,2,AbiaArochukwuIkwunihe 201/02/2013,4,0,0,0,32,2,48,5,80,7,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Ikwunihe 2,1-Mar-13,2,Umuzomgbo,amaogurunsi,,0,0,40,40,3,4,AbiaArochukwuIkwunihe 201/03/2013,4,0,0,0,36,4,44,3,80,7,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Isu,1-Feb-13,2,Obieze,Ikisu (Utugiyi),,0,0,40,40,1,2,AbiaArochukwuIsu01/02/2013,4,0,0,0,32,1,48,2,80,3,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Isu,1-Mar-13,2,Obieze,Utugiyi,,0,0,40,40,1,0,AbiaArochukwuIsu01/03/2013,4,0,0,0,32,1,48,0,80,1,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Ohafor 1,1-Mar-13,2,Ndiememe,Ozuabam,,0,0,40,40,4,2,AbiaArochukwuOhafor 101/03/2013,4,0,0,0,36,3,44,3,80,6,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Ovukwu,1-Mar-13,2,Ndi oji,NDI OKEREKE,,0,0,40,40,2,5,AbiaArochukwuOvukwu01/03/2013,4,0,0,0,38,2,42,5,80,7,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Alayi 1,1-Feb-13,2,Umuenyere Aliyi,Ezi Aliyi,,0,0,40,40,1,0,AbiaBendeAlayi 101/02/2013,4,0,0,0,37,1,43,0,80,1,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Alayi 2,1-Feb-13,2,Umuokpo,Okpufu,,0,0,40,40,5,0,AbiaBendeAlayi 201/02/2013,4,0,0,0,42,5,38,0,80,5,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Bende,1-Mar-13,2,Bende,Ogbuebila,,0,0,37,43,2,0,AbiaBendeBende01/03/2013,4,0,0,0,35,2,45,0,80,2,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Igbere 1,1-Feb-13,2,Okafia,Onwubina,,0,0,40,40,4,0,AbiaBendeIgbere 101/02/2013,4,0,0,0,34,3,46,1,80,4,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Igbere 2,1-Feb-13,2,Amaogudu,Asago,,0,0,40,40,2,0,AbiaBendeIgbere 201/02/2013,4,0,0,0,42,2,38,0,80,2,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Item 3,1-Mar-13,2,Isieke,Elunta,,0,0,40,40,0,0,AbiaBendeItem 301/03/2013,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Item 4,1-Mar-13,2,Amaokayi,Amaukabi,,0,0,40,40,0,0,AbiaBendeItem 401/03/2013,4,0,0,0,34,2,46,0,80,2,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Itumbauzo 1,1-Feb-13,2,Okepedi,Ndiwo,,0,0,40,40,0,0,AbiaBendeItumbauzo 101/02/2013,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Itumbauzo 1,1-Mar-13,2,Ndiwo,mkporo ubibia,,0,0,40,40,1,2,AbiaBendeItumbauzo 101/03/2013,4,0,0,0,35,1,45,2,80,3,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Itumbauzo 2,1-Mar-13,2,Ahaba,Okosi,,0,0,40,40,1,0,AbiaBendeItumbauzo 201/03/2013,4,0,0,0,37,0,43,1,80,1,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Nkpa 2,1-Feb-13,2,Umuewu,Umuokwa,,0,0,40,40,2,1,AbiaBendeNkpa 201/02/2013,4,0,0,0,35,2,45,1,80,3,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Nkpa 2,1-Mar-13,2,Obilaji,Umuokwa,,0,0,40,40,2,2,AbiaBendeNkpa 201/03/2013,4,0,0,0,38,2,42,2,80,4,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Umuhu/Eze,1-Feb-13,2,Amazu,Umuokwe,,0,0,40,40,4,0,AbiaBendeUmuhu/Eze01/02/2013,4,0,0,0,35,3,45,1,80,4,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Umummenyi,1-Mar-13,2,Lohum,Akoli,,0,0,40,40,4,3,AbiaBendeUmummenyi01/03/2013,4,0,0,0,38,3,42,4,80,7,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Uzuakoli 1,1-Feb-13,2,Amamba,Amankwo,,0,0,40,40,0,0,AbiaBendeUzuakoli 101/02/2013,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Uzuakoli 2,1-Mar-13,2,Eluoma,Lagos Qrt,,0,0,40,40,4,4,AbiaBendeUzuakoli 201/03/2013,4,0,0,0,34,5,46,3,80,8,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Agbala-Ozu,1-Feb-13,2,Ayaba,Umuokorocha,,0,0,40,40,1,0,AbiaIkwuanoAgbala-Ozu01/02/2013,4,0,0,0,16,1,64,0,80,1,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Agbala-Ozu,1-Mar-13,2,Mbaumo,Umugo umugbalu,,0,0,40,40,2,2,AbiaIkwuanoAgbala-Ozu01/03/2013,4,0,0,0,32,2,48,2,80,4,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Ahala-Uda/Oru-Igwe,1-Mar-13,2,Ezichi,Umusam,,0,0,40,40,2,1,AbiaIkwuanoAhala-Uda/Oru-Igwe01/03/2013,4,0,0,0,35,2,45,1,80,3,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Ariam 2,1-Feb-13,2,Elu-Elu,Ndiorie,,0,0,40,40,1,2,AbiaIkwuanoAriam 201/02/2013,4,0,0,0,18,1,62,2,80,3,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Ekpiri,1-Mar-13,2,Ndi ulewe,Ndi iduwe,,0,0,40,40,0,0,AbiaIkwuanoEkpiri01/03/2013,4,0,0,0,38,0,42,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Ibere 2,1-Feb-13,2,,,,0,0,0,0,0,0,AbiaIkwuanoIbere 201/02/2013,4,0,0,0,65,0,95,0,160,0,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Ikemba,1-Feb-13,2,Ndi Ugbo,Ndi Ukobo,,0,0,40,40,0,0,AbiaIkwuanoIkemba01/02/2013,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Ikemba,1-Mar-13,2,Upah,Umuezeala,,0,0,40,40,1,1,AbiaIkwuanoIkemba01/03/2013,4,0,0,0,32,1,48,1,80,2,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Oboro 1,1-Feb-13,2,Mba Chukwu,Okoroabaukwu,,0,0,40,40,0,0,AbiaIkwuanoOboro 101/02/2013,4,0,0,0,39,0,41,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Oboro 1,1-Mar-13,2,Mgbaja,Agbomiri,,0,0,40,40,1,0,AbiaIkwuanoOboro 101/03/2013,4,0,0,0,32,0,48,1,80,1,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Oboro 2,1-Feb-13,2,AMAOBA,AMABA IME,,0,0,40,27,7,0,AbiaIkwuanoOboro 201/02/2013,4,0,0,0,16,7,51,4,67,11,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Oboro 4,1-Feb-13,2,,,,0,0,0,0,0,0,AbiaIkwuanoOboro 401/02/2013,4,0,0,0,25,0,97,0,122,0,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Oboro 4,1-Mar-13,2,Isiala,Ogbulebula,,0,0,40,40,3,4,AbiaIkwuanoOboro 401/03/2013,4,0,0,0,35,5,45,2,80,7,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Oloko 2,1-Mar-13,2,Obeawom amahia,umete,,0,0,40,40,0,0,AbiaIkwuanoOloko 201/03/2013,4,0,0,0,26,0,54,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Ugwuegbu,1-Feb-13,2,usaka ukwu,amaegbu,,0,0,40,40,0,0,AbiaIkwuanoUgwuegbu01/02/2013,4,0,0,0,31,0,49,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Ikwuano,Usaka,1-Mar-13,2,Amankwu,Alaoma,,0,0,40,40,1,0,AbiaIkwuanoUsaka01/03/2013,4,0,0,0,32,0,48,1,80,1,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Agburueze,1-Mar-13,2,Umuomiukwu,Umuezegu,,0,0,40,40,3,0,AbiaIsiala-Ngwa NorthAgburueze01/03/2013,4,0,0,0,34,2,46,1,80,3,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Ahiabaubi,1-Mar-13,2,Amuzu,Umuala,,0,0,80,80,1,0,AbiaIsiala-Ngwa NorthAhiabaubi01/03/2013,8,0,0,0,66,1,94,0,160,1,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Amaasa Nsulu,1-Feb-13,2,Eziukwu,Mbaraogbom,,0,0,44,40,8,8,AbiaIsiala-Ngwa NorthAmaasa Nsulu01/02/2013,4,0,0,0,40,6,44,10,84,16,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Amaasa Nsulu,1-Mar-13,3,Mbaraogbom,Eziukwu/ Umuelema,,0,0,40,40,0,1,AbiaIsiala-Ngwa NorthAmaasa Nsulu01/03/2013,4,0,0,0,35,0,45,1,80,1,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Amaorji,1-Feb-13,2,Amaiyi,Umuogba,,0,0,40,40,0,4,AbiaIsiala-Ngwa NorthAmaorji01/02/2013,4,0,0,0,32,1,48,3,80,4,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Amapu Ntigha,1-Mar-13,2,Umuogele,Umunka,,0,0,80,80,1,0,AbiaIsiala-Ngwa NorthAmapu Ntigha01/03/2013,8,0,0,0,72,0,88,1,160,1,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Amasa Ntigha,1-Feb-13,2,UMUOGIDI,UMUOGBA,,0,0,40,40,0,0,AbiaIsiala-Ngwa NorthAmasa Ntigha01/02/2013,4,0,0,0,34,0,46,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Eziama Ntigha,1-Feb-13,2,Umuola,umuamma,,0,0,40,40,0,2,AbiaIsiala-Ngwa NorthEziama Ntigha01/02/2013,4,0,0,0,32,0,48,2,80,2,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Eziama Ntigha,1-Mar-13,2,Obingwa,Umuola,,0,0,40,40,2,0,AbiaIsiala-Ngwa NorthEziama Ntigha01/03/2013,4,0,0,0,33,1,47,1,80,2,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Isiala Amapu,1-Feb-13,2,isiala Amapu,Amakpu IsiHia,,0,0,40,40,7,8,AbiaIsiala-Ngwa NorthIsiala Amapu01/02/2013,4,0,0,0,33,7,47,8,80,15,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Isiala Enyiala,1-Feb-13,2,Amamgbala,Egbelu,,0,0,40,40,1,2,AbiaIsiala-Ngwa NorthIsiala Enyiala01/02/2013,4,0,0,0,32,3,48,0,80,3,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Isiala Enyiala,1-Mar-13,2,Imerem Egbelu,Amagbala,,0,0,40,40,3,3,AbiaIsiala-Ngwa NorthIsiala Enyiala01/03/2013,4,0,0,0,32,2,48,4,80,6,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Isiala Nsulli,1-Mar-13,2,Umuada,Eziala,,0,0,40,40,0,0,AbiaIsiala-Ngwa NorthIsiala Nsulli01/03/2013,4,0,0,0,35,0,45,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Ngwaukwu 2,1-Mar-13,2,Umuotutu,Ahiaba-Okpuala,,0,0,40,40,0,0,AbiaIsiala-Ngwa NorthNgwaukwu 201/03/2013,4,0,0,0,36,0,44,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Umunna Nsu,1-Feb-13,2,Umuosu/Mbubo,Umuode,,0,0,41,44,6,6,AbiaIsiala-Ngwa NorthUmunna Nsu01/02/2013,4,0,0,0,38,6,47,6,85,12,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa North,Umuomainta,1-Feb-13,4,UMULENWA/UMUNKOLO,OKPUALANGWA,,0,0,40,40,0,0,AbiaIsiala-Ngwa NorthUmuomainta01/02/2013,4,0,0,0,31,1,48,0,79,1,TRUE,,,,0,0,0,0,0,0
Abia,Isiala-Ngwa South,Aku-Na-Ekpu,1-Mar-13,2,Oboba,Amaku,,0,0,40,40,1,1,AbiaIsiala-Ngwa SouthAku-na-Ekpu01/03/2013,4,0,0,0,34,1,46,1,80,2,TRUE,,,,0,0,0,0,0,0
