State,LGA,Ward,OUTRnd,Settlementno,Settlement1,Settlement2,Settlement3,totSeet3,totMist3,totSeet1,totSeet2,totMist1,totMist2,OutCode,numberof Locations,Unvaccinated this round,0to9mth Seen,0to9mth notMarked,0to23mth Seen,0to23mth notMarked,24to59mth Seen,24to59mth notMarked,TOTAL Seen,TOTAL Notmarked,IsmainRnd,Settlement4,Settlement5,Settlement6,totSeet4,totMist4,totSeet5,totSeet6,totMist5,totMist6
Abia,Aba North,Ariaria,1-Feb-12,2,,,,0,0,0,0,0,0,AbiaAba NorthAriaria01/02/2012,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Asaokpoja,1-Feb-12,2,,,,0,0,0,0,0,0,AbiaAba NorthAsaokpoja01/02/2012,8,0,0,0,66,5,96,7,162,12,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Asaokpoja,1-Mar-12,2,,,,0,0,0,0,0,0,AbiaAba NorthAsaokpoja01/03/2012,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Eziama  Ward,1-Mar-12,2,,,,0,0,0,0,0,0,AbiaAba NorthEziama  ward01/03/2012,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Ogbor 1,1-Feb-12,2,,,,0,0,0,0,0,0,AbiaAba NorthOgbor 101/02/2012,4,0,0,0,32,2,48,1,80,3,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Ogbor 1,1-Mar-12,2,,,,0,0,0,0,0,0,AbiaAba NorthOgbor 101/03/2012,4,0,0,0,32,1,48,3,80,4,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Ogbor 2,1-Mar-12,2,,,,0,0,0,0,0,0,AbiaAba NorthOgbor 201/03/2012,4,0,0,0,30,5,50,4,80,9,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Osusu 1,1-Mar-12,2,,,,0,0,0,0,0,0,AbiaAba NorthOsusu 101/03/2012,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Osusu 2,1-Mar-12,2,,,,0,0,0,0,0,0,AbiaAba NorthOsusu 201/03/2012,4,0,0,0,33,5,47,8,80,13,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,St. Eugene,1-Feb-12,2,,,,0,0,0,0,0,0,AbiaAba NorthSt. Eugene01/02/2012,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Umuogor,1-Feb-12,2,,,,0,0,0,0,0,0,AbiaAba NorthUmuogor01/02/2012,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Umuogor,1-Mar-12,2,,,,0,0,0,0,0,0,AbiaAba NorthUmuogor01/03/2012,4,0,0,0,36,3,44,1,80,4,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Umuola,1-Feb-12,2,,,,0,0,0,0,0,0,AbiaAba NorthUmuola01/02/2012,8,0,0,0,63,8,94,8,157,16,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Umuola,1-Mar-12,2,,,,0,0,0,0,0,0,AbiaAba NorthUmuola01/03/2012,4,0,0,0,32,5,48,5,80,10,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Uratta,1-Feb-12,2,,,,0,0,0,0,0,0,AbiaAba NorthUratta01/02/2012,4,0,0,0,16,2,24,0,40,2,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Aba Town Hall,1-Feb-12,2,,,,0,0,0,0,0,0,AbiaAba SouthAba Town Hall01/02/2012,4,0,0,0,37,5,43,8,80,13,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Ekeoha,1-Feb-12,2,,,,0,0,0,0,0,0,AbiaAba SouthEkeoha01/02/2012,4,0,0,0,37,3,43,9,80,12,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Ekeoha,1-Mar-12,2,,,,0,0,0,0,0,0,AbiaAba SouthEkeoha01/03/2012,4,0,0,0,37,5,43,3,80,8,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Elu Ohazu,1-Mar-12,2,,,,0,0,0,0,0,0,AbiaAba SouthElu Ohazu01/03/2012,4,0,0,0,32,0,48,0,80,0,TRUE,,,,0,0,0,0,0,0
