Id,Campaign Type,IPDs Round,Day,State,LGA,Daily Review Meeting Chaired by LGA Chaiman,Proportion of teams visited by supervisor (%),Proportion of teams with VVM in Stage 3 or 4 (%),Number of Missed Settlements based on Daily plan,Proportion of wards >10% missed children (%),Proportion of wards with >10% households NOT marked correctly,Proportion of children NOT finger marked
SIA423701AbiaAba North,SIA,16-Jan,1,Abia,Aba North,,,,,,,
SIA423701AbiaAba South,SIA,16-Jan,1,Abia,Aba South,,,,,,,
SIA423701AbiaArochukwu,SIA,16-Jan,1,Abia,Arochukwu,,,,,,,
SIA423701AbiaBende,SIA,16-Jan,1,Abia,Bende,,,,,,,
SIA423701AbiaIkwuano,SIA,16-Jan,1,Abia,Ikwuano,,,,,,,
SIA423701AbiaIsiala-Ngwa North,SIA,16-Jan,1,Abia,Isiala-Ngwa North,,,,,,,
SIA423701AbiaIsiala-Ngwa South,SIA,16-Jan,1,Abia,Isiala-Ngwa South,,,,,,,
SIA423701AbiaIsuikwuato,SIA,16-Jan,1,Abia,Isuikwuato,,,,,,,
SIA423701AbiaObi Nwga,SIA,16-Jan,1,Abia,Obi Nwga,,,,,,,
SIA423701AbiaOhafia,SIA,16-Jan,1,Abia,Ohafia,,,,,,,
SIA423701AbiaOsisioma Ngwa,SIA,16-Jan,1,Abia,Osisioma Ngwa,,,,,,,
SIA423701AbiaUgwunagbo,SIA,16-Jan,1,Abia,Ugwunagbo,,,,,,,
SIA423701AbiaUkwa East,SIA,16-Jan,1,Abia,Ukwa East,,,,,,,
SIA423701AbiaUkwa West,SIA,16-Jan,1,Abia,Ukwa West,,,,,,,
SIA423701AbiaUmuahia North,SIA,16-Jan,1,Abia,Umuahia North,,,,,,,
SIA423701AbiaUmuahia South,SIA,16-Jan,1,Abia,Umuahia South,,,,,,,
SIA423701AbiaUmu-Nneochi,SIA,16-Jan,1,Abia,Umu-Nneochi,,,,,,,
SIA423701AdamawaDemsa,SIA,16-Jan,1,Adamawa,Demsa,,,,,,,
SIA423701AdamawaFufore,SIA,16-Jan,1,Adamawa,Fufore,,,,,,,
SIA423701AdamawaGanye,SIA,16-Jan,1,Adamawa,Ganye,,,,,,,
SIA423701AdamawaGirie,SIA,16-Jan,1,Adamawa,Girie,,,,,,,
SIA423701AdamawaGombi,SIA,16-Jan,1,Adamawa,Gombi,,,,,,,
SIA423701AdamawaGuyuk,SIA,16-Jan,1,Adamawa,Guyuk,,,,,,,
SIA423701AdamawaHong,SIA,16-Jan,1,Adamawa,Hong,,,,,,,
