Id,Campaign Type,IPDs Round,Day,State,LGA,Daily Review Meeting Chaired by LGA Chaiman,Proportion of teams visited by supervisor (%),Proportion of teams with VVM in Stage 3 or 4 (%),Number of Missed Settlements based on Daily plan,Proportion of wards >10% missed children (%),Proportion of wards with >10% households NOT marked correctly,Proportion of children NOT finger marked
SIA427361AbiaAba North,SIA,17-Jan,1,Abia,Aba North,,,,,,,
SIA427361AbiaAba South,SIA,17-Jan,1,Abia,Aba South,,,,,,,
SIA427361AbiaArochukwu,SIA,17-Jan,1,Abia,Arochukwu,,,,,,,
SIA427361AbiaBende,SIA,17-Jan,1,Abia,Bende,,,,,,,
SIA427361AbiaIkwuano,SIA,17-Jan,1,Abia,Ikwuano,,,,,,,
SIA427361AbiaIsiala-Ngwa North,SIA,17-Jan,1,Abia,Isiala-Ngwa North,,,,,,,
SIA427361AbiaIsiala-Ngwa South,SIA,17-Jan,1,Abia,Isiala-Ngwa South,,,,,,,
SIA427361AbiaIsuikwuato,SIA,17-Jan,1,Abia,Isuikwuato,,,,,,,
SIA427361AbiaObi Nwga,SIA,17-Jan,1,Abia,Obi Nwga,,,,,,,
SIA427361AbiaOhafia,SIA,17-Jan,1,Abia,Ohafia,,,,,,,
SIA427361AbiaOsisioma Ngwa,SIA,17-Jan,1,Abia,Osisioma Ngwa,,,,,,,
SIA427361AbiaUgwunagbo,SIA,17-Jan,1,Abia,Ugwunagbo,,,,,,,
SIA427361AbiaUkwa East,SIA,17-Jan,1,Abia,Ukwa East,,,,,,,
SIA427361AbiaUkwa West,SIA,17-Jan,1,Abia,Ukwa West,,,,,,,
SIA427361AbiaUmuahia North,SIA,17-Jan,1,Abia,Umuahia North,,,,,,,
SIA427361AbiaUmuahia South,SIA,17-Jan,1,Abia,Umuahia South,,,,,,,
SIA427361AbiaUmu-Nneochi,SIA,17-Jan,1,Abia,Umu-Nneochi,,,,,,,
SIA427361AdamawaDemsa,SIA,17-Jan,1,Adamawa,Demsa,Yes,100%,0%,0,0%,0%,0%
SIA427361AdamawaFufore,SIA,17-Jan,1,Adamawa,Fufore,No,98%,0%,0,0%,0%,0%
SIA427361AdamawaGanye,SIA,17-Jan,1,Adamawa,Ganye,Yes,100%,0%,0,0%,0%,0%
SIA427361AdamawaGirie,SIA,17-Jan,1,Adamawa,Girie,Yes,90%,0%,0,0%,0%,0%
