Id,Campaign Type,IPDs Round,Day,State,LGA,Daily Review Meeting Chaired by LGA Chaiman,Proportion of teams visited by supervisor (%),Proportion of teams with VVM in Stage 3 or 4 (%),Number of Missed Settlements based on Daily plan,Proportion of wards >10% missed children (%),Proportion of wards with >10% households NOT marked correctly,Proportion of children NOT finger marked
SIA416401AbiaAba North,SIA,14-Jan,1,Abia,Aba North,,,,,,,
SIA416401AbiaAba South,SIA,14-Jan,1,Abia,Aba South,,,,,,,
SIA416401AbiaArochukwu,SIA,14-Jan,1,Abia,Arochukwu,,,,,,,
SIA416401AbiaBende,SIA,14-Jan,1,Abia,Bende,,,,,,,
SIA416401AbiaIkwuano,SIA,14-Jan,1,Abia,Ikwuano,,,,,,,
SIA416401AbiaIsiala-Ngwa North,SIA,14-Jan,1,Abia,Isiala-Ngwa North,,,,,,,
SIA416401AbiaIsiala-Ngwa South,SIA,14-Jan,1,Abia,Isiala-Ngwa South,,,,,,,
SIA416401AbiaIsuikwuato,SIA,14-Jan,1,Abia,Isuikwuato,,,,,,,
SIA416401AbiaObi Nwga,SIA,14-Jan,1,Abia,Obi Nwga,,,,,,,
SIA416401AbiaOhafia,SIA,14-Jan,1,Abia,Ohafia,,,,,,,
SIA416401AbiaOsisioma Ngwa,SIA,14-Jan,1,Abia,Osisioma Ngwa,,,,,,,
SIA416401AbiaUgwunagbo,SIA,14-Jan,1,Abia,Ugwunagbo,,,,,,,
SIA416401AbiaUkwa East,SIA,14-Jan,1,Abia,Ukwa East,,,,,,,
SIA416401AbiaUkwa West,SIA,14-Jan,1,Abia,Ukwa West,,,,,,,
SIA416401AbiaUmuahia North,SIA,14-Jan,1,Abia,Umuahia North,,,,,,,
SIA416401AbiaUmuahia South,SIA,14-Jan,1,Abia,Umuahia South,,,,,,,
SIA416401AbiaUmu-Nneochi,SIA,14-Jan,1,Abia,Umu-Nneochi,,,,,,,
SIA416401AdamawaDemsa,SIA,14-Jan,1,Adamawa,Demsa,,,,,,,
SIA416401AdamawaFufore,SIA,14-Jan,1,Adamawa,Fufore,,,,,,,
SIA416401AdamawaGanye,SIA,14-Jan,1,Adamawa,Ganye,,,,,,,
SIA416401AdamawaGirie,SIA,14-Jan,1,Adamawa,Girie,,,,,,,
SIA416401AdamawaGombi,SIA,14-Jan,1,Adamawa,Gombi,,,,,,,
SIA416401AdamawaGuyuk,SIA,14-Jan,1,Adamawa,Guyuk,,,,,,,
