Id,DateVac,State,Lga,Ward,OPVvialsRced,OPVVialsused,DPTvials recd,DPTvials Used,HepBvials recd,HepBvials Used,Measlesvials Recd,MeaslesvialsUsed,MESDiluentsRecd,MESDiluentsUsed,Yellowvials recd,Yellowvials Used,YFDiluentsRecd,YFDiluentsUsed,TTvials recd,TTvials Used,ADsyringeRecd,ADsyringeUsed,ReconsyringeRecd,ReconsyringeUsed,AEFI,uniqvac,IsmainRnd,IPVVials Rced,IPVVials Used,PCVvials recd,PCVvials Used
18865,1-Apr-17,Adamawa,Madagali,Hyambula,78,78,6,6,0,0,2,2,2,2,2,2,2,2,0,0,90,90,4,4,0,AdamawaMadagaliHyambula01/04/2017-1,TRUE,,,,
18866,1-Apr-17,Kebbi,Koko/Besse,Lani Shiba,382,382,8,8,4,3,4,4,4,4,4,4,4,4,4,4,200,181,20,18,0,KebbiKoko/BesseLani Shiba01/04/2017-1,TRUE,,,,
18867,1-Apr-17,Benue,Apa,Ugbokpo,540,540,13,13,11,11,8,8,8,8,8,8,8,8,10,10,560,560,8,8,0,BenueApaUgbokpo01/04/2017-1,TRUE,,,,
18868,1-Apr-17,Benue,Apa,Edikwu Ll,133,133,7,7,4,4,4,4,4,4,4,4,4,4,6,6,370,370,12,12,0,BenueApaEdikwu ll01/04/2017-1,TRUE,,,,
18869,1-Apr-17,Benue,Apa,Igah,350,350,4,4,2,2,2,2,2,2,2,2,2,2,4,4,140,140,3,3,0,BenueApaIgah01/04/2017-1,TRUE,,,,
18870,1-Apr-17,Benue,Apa,Igoro,170,170,6,6,4,4,4,4,4,4,4,4,4,4,4,4,360,360,8,8,0,BenueApaIgoro01/04/2017-1,TRUE,,,,
18871,1-Apr-17,Benue,Apa,Ikobi,214,214,13,13,6,6,6,6,6,6,6,6,6,6,7,7,380,380,12,12,0,BenueApaIkobi01/04/2017-1,TRUE,,,,
18872,1-Apr-17,Benue,Apa,Oba,113,113,0,0,3,3,4,4,4,4,4,4,4,4,5,5,270,270,10,10,0,BenueApaOba01/04/2017-1,TRUE,,,,
18873,1-Apr-17,Benue,Apa,Ofoke,164,164,8,8,4,4,4,4,4,4,4,4,4,4,7,7,390,390,11,11,0,BenueApaOfoke01/04/2017-1,TRUE,,,,
18874,1-Apr-17,Kebbi,Koko/Besse,Dutsin Mari Dul Meru,587,587,12,9,2,2,4,4,4,4,4,4,4,4,4,4,260,215,25,21,0,KebbiKoko/BesseDutsin Mari Dul Meru01/04/2017-1,TRUE,,,,
18875,1-Apr-17,Benue,Apa,Ojantelle/Akpete,124,124,10,10,6,6,6,6,6,6,6,6,6,6,7,7,350,350,14,14,0,BenueApaOjantelle/Akpete01/04/2017-1,TRUE,,,,
18876,1-Apr-17,Kebbi,Maiyama,Mungadi,453,453,5,5,4,0,7,7,7,7,7,7,7,7,5,5,500,400,40,35,0,KebbiMaiyamaMungadi01/04/2017-1,TRUE,,,,
18877,1-Apr-17,Benue,Buruku,Binev,200,200,7,7,4,4,2,2,2,2,2,2,2,2,8,8,225,225,4,4,0,BenueBurukuBinev01/04/2017-1,TRUE,,,,
18878,1-Apr-17,Benue,Buruku,Etulo,142,142,8,8,4,4,5,5,5,5,5,5,5,5,8,8,260,260,10,10,0,BenueBurukuEtulo01/04/2017-1,TRUE,,,,
18879,1-Apr-17,Benue,Buruku,Mbaade,132,132,10,10,2,2,4,4,4,4,4,4,4,4,10,10,245,245,8,8,0,BenueBurukuMbaade01/04/2017-1,TRUE,,,,
18880,1-Apr-17,Benue,Buruku,Mbaakura,264,264,10,10,3,3,4,4,4,4,4,4,4,4,10,10,385,385,8,8,0,BenueBurukuMbaakura01/04/2017-1,TRUE,,,,
18881,1-Apr-17,Benue,Buruku,Mbaapen,485,485,9,9,3,3,2,2,2,2,2,2,2,2,9,9,267,267,4,4,0,BenueBurukuMbaapen01/04/2017-1,TRUE,,,,
18882,1-Apr-17,Benue,Buruku,Mbaatikyaa,435,435,12,12,3,3,6,6,6,6,6,6,6,6,12,12,265,265,12,12,0,BenueBurukuMbaatikyaa01/04/2017-1,TRUE,,,,
18883,1-Apr-17,Benue,Buruku,Mbaazager,164,164,10,10,1,1,4,4,4,4,4,4,4,4,10,10,295,295,8,8,0,BenueBurukuMbaazager01/04/2017-1,TRUE,,,,
18884,1-Apr-17,Benue,Apa,Oiji,141,141,4,4,3,3,6,6,6,6,6,6,6,6,7,7,320,320,9,9,0,BenueApaOiji01/04/2017-1,TRUE,,,,
18885,1-Apr-17,Adamawa,Lamurde,Lamurde,182,182,8,8,0,0,6,6,6,6,6,6,6,6,4,4,169,169,12,12,0,AdamawaLamurdeLamurde01/04/2017-1,TRUE,,,,
18886,1-Apr-17,Kebbi,Maiyama,Liba,454,454,4,4,4,0,4,4,4,4,4,4,4,4,2,2,400,300,30,30,0,KebbiMaiyamaLiba01/04/2017-1,TRUE,,,,
18887,1-Apr-17,Adamawa,Jada,Mayo Kalaye,210,210,11,11,0,0,3,3,3,3,3,3,3,3,5,5,268,268,6,6,0,AdamawaJadaMayo Kalaye01/04/2017-1,TRUE,,,,
18888,1-Apr-17,Adamawa,Jada,Mbullo,328,328,6,6,0,0,3,3,3,3,3,3,3,3,3,3,164,164,6,6,0,AdamawaJadaMbullo01/04/2017-1,TRUE,,,,
18889,1-Apr-17,Adamawa,Jada,Nyibago,231,231,12,12,0,0,7,7,7,7,7,7,7,7,5,5,351,351,14,14,0,AdamawaJadaNyibago01/04/2017-1,TRUE,,,,
18890,1-Apr-17,Adamawa,Jada,Yeli,402,402,17,17,0,0,7,7,7,7,7,7,7,7,4,4,458,458,14,14,0,AdamawaJadaYeli01/04/2017-1,TRUE,,,,
18891,1-Apr-17,Adamawa,Lamurde,Dubange,80,80,7,7,0,0,1,1,1,1,1,1,1,1,1,1,120,120,2,2,0,AdamawaLamurdeDubange01/04/2017-1,TRUE,,,,
18892,1-Apr-17,Adamawa,Jada,Leko,238,238,14,14,0,0,6,6,6,6,6,6,6,6,6,6,399,399,12,12,0,AdamawaJadaLeko01/04/2017-1,TRUE,,,,
18893,1-Apr-17,Adamawa,Lamurde,Lafiya,285,285,8,8,0,0,3,3,3,3,3,3,3,3,1,1,245,245,6,6,0,AdamawaLamurdeLafiya01/04/2017-1,TRUE,,,,
18894,1-Apr-17,Adamawa,Jada,Koma 2,147,147,4,4,0,0,3,3,3,3,3,3,3,3,4,4,167,167,3,3,0,AdamawaJadaKoma 201/04/2017-1,TRUE,,,,
18895,1-Apr-17,Adamawa,Lamurde,Ngbakawo,150,150,4,4,0,0,5,5,5,5,5,5,5,5,5,5,178,178,10,10,0,AdamawaLamurdeNgbakawo01/04/2017-1,TRUE,,,,
18896,1-Apr-17,Adamawa,Lamurde,Ngbebogun,152,152,9,9,0,0,4,4,4,4,4,4,4,4,4,4,307,307,8,8,0,AdamawaLamurdeNgbebogun01/04/2017-1,TRUE,,,,
18897,1-Apr-17,Adamawa,Lamurde,Opalo,94,94,7,7,0,0,4,4,4,4,4,4,4,4,5,5,372,372,8,8,0,AdamawaLamurdeOpalo01/04/2017-1,TRUE,,,,
18898,1-Apr-17,Adamawa,Lamurde,Rigange,96,96,8,8,0,0,5,5,5,5,5,5,5,5,4,4,242,242,10,10,0,AdamawaLamurdeRigange01/04/2017-1,TRUE,,,,
18899,1-Apr-17,Adamawa,Lamurde,Suwa,292,292,13,13,0,0,3,3,3,3,3,3,3,3,4,4,217,226,6,6,0,AdamawaLamurdeSuwa01/04/2017-1,TRUE,,,,
18900,1-Apr-17,Adamawa,Lamurde,Waduku,356,356,9,9,0,0,0,0,0,0,0,0,0,0,2,2,217,217,0,0,0,AdamawaLamurdeWaduku01/04/2017-1,TRUE,,,,
18901,1-Apr-17,Adamawa,Madagali,Bebel,110,110,5,5,0,0,1,1,1,1,1,1,1,1,0,0,207,207,2,2,0,AdamawaMadagaliBebel01/04/2017-1,TRUE,,,,
18902,1-Apr-17,Adamawa,Lamurde,Gyawana,200,200,7,7,0,0,2,2,2,2,2,2,2,2,6,6,203,203,4,4,0,AdamawaLamurdeGyawana01/04/2017-1,TRUE,,,,
18903,1-Apr-17,Adamawa,Hong,Mayo Lope,160,160,5,5,0,0,3,3,3,3,3,3,3,3,0,0,177,177,4,4,0,AdamawaHongMayo Lope01/04/2017-1,TRUE,,,,
18904,1-Apr-17,Kebbi,Maiyama,Sambawa Mayalo,448,448,10,10,4,0,2,2,2,2,2,2,2,2,2,0,400,300,35,30,0,KebbiMaiyamaSambawa Mayalo01/04/2017-1,TRUE,,,,
18905,1-Apr-17,Kebbi,Maiyama,Sarandosa,457,457,9,9,4,0,11,11,11,11,11,11,11,11,4,0,500,450,45,40,0,KebbiMaiyamaSarandosa01/04/2017-1,TRUE,,,,
18906,1-Apr-17,Kebbi,Ngaski,Birnin Yauri,463,463,6,6,1,1,2,2,2,2,2,2,2,2,2,2,150,150,4,4,0,KebbiNgaskiBirnin Yauri01/04/2017-1,TRUE,,,,
18907,1-Apr-17,Adamawa,Hong,Gaya-Sikalmi,247,247,4,4,0,0,1,1,1,1,1,1,1,1,0,0,109,109,4,4,0,AdamawaHongGaya-sikalmi01/04/2017-1,TRUE,,,,
18908,1-Apr-17,Adamawa,Hong,Hildi,208,208,5,5,0,0,2,2,2,2,2,2,2,2,2,2,137,137,4,4,0,AdamawaHongHildi01/04/2017-1,TRUE,,,,
18909,1-Apr-17,Adamawa,Hong,Hong,279,279,5,5,0,0,1,1,1,1,1,1,1,1,2,2,64,64,2,2,0,AdamawaHongHong01/04/2017-1,TRUE,,,,
18910,1-Apr-17,Adamawa,Jada,Mapeo,204,204,7,7,0,0,4,4,4,4,4,4,4,4,6,6,268,268,8,8,0,AdamawaJadaMapeo01/04/2017-1,TRUE,,,,
18911,1-Apr-17,Adamawa,Hong,Kwarhi,175,175,6,6,0,0,3,3,3,3,3,3,3,3,1,1,160,160,2,2,0,AdamawaHongKwarhi01/04/2017-1,TRUE,,,,
18912,1-Apr-17,Bauchi,Tafawa-Balewa,Bununu B,268,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiTafawa-BalewaBununu B01/04/2017-1,TRUE,,,,
18913,1-Apr-17,Adamawa,Hong,Shangui,149,149,3,3,0,0,2,2,2,2,2,2,2,2,1,1,121,121,5,5,0,AdamawaHongShangui01/04/2017-1,TRUE,,,,
18914,1-Apr-17,Adamawa,Hong,Thilbang,274,274,3,3,0,0,2,2,2,2,2,2,2,2,0,0,80,80,2,2,0,AdamawaHongThilbang01/04/2017-1,TRUE,,,,
18915,1-Apr-17,Adamawa,Hong,Uba,265,265,18,18,0,0,8,8,8,8,8,8,8,8,0,0,303,303,16,16,0,AdamawaHongUba01/04/2017-1,TRUE,,,,
18916,1-Apr-17,Adamawa,Jada,Danaba,192,192,9,9,0,0,5,5,5,5,5,5,5,5,4,4,313,313,10,10,0,AdamawaJadaDanaba01/04/2017-1,TRUE,,,,
18917,1-Apr-17,Adamawa,Jada,Jada 1,208,208,8,8,0,0,4,4,4,4,4,4,4,4,8,8,290,290,8,8,0,AdamawaJadaJada 101/04/2017-1,TRUE,,,,
18918,1-Apr-17,Adamawa,Jada,Jada 2,252,252,7,7,0,0,5,5,5,5,5,5,5,5,5,5,251,251,10,10,0,AdamawaJadaJada 201/04/2017-1,TRUE,,,,
18919,1-Apr-17,Adamawa,Jada,Koma 1,167,167,6,6,0,0,5,5,5,5,5,5,5,5,3,3,232,232,10,10,0,AdamawaJadaKoma 101/04/2017-1,TRUE,,,,
18920,1-Apr-17,Adamawa,Hong,Hoserezum,220,220,5,5,0,0,0,0,0,0,0,0,0,0,0,0,50,50,2,2,0,AdamawaHongHoserezum01/04/2017-1,TRUE,,,,
18921,1-Apr-17,Kebbi,Bunza,Tilli Hilema,500,500,7,7,2,2,6,6,6,6,6,5,6,5,4,3,220,202,12,11,0,KebbiBunzaTilli Hilema01/04/2017-1,TRUE,,,,
18922,1-Apr-17,Kebbi,Dandi,Kamba-Kamba,553,553,6,6,1,1,3,3,3,3,3,3,3,3,0,0,180,160,6,6,0,KebbiDandiKamba-Kamba01/04/2017-1,TRUE,,,,
18923,1-Apr-17,Kebbi,Bunza,Bunza Dangaladima,467,467,5,5,2,1,4,4,4,4,4,4,4,4,2,2,160,141,8,8,0,KebbiBunzaBunza Dangaladima01/04/2017-1,TRUE,,,,
18924,1-Apr-17,Kebbi,Bunza,Bunza Marafa,428,428,3,3,2,1,3,3,3,3,3,3,3,3,2,2,120,101,6,6,0,KebbiBunzaBunza Marafa01/04/2017-1,TRUE,,,,
18925,1-Apr-17,Kebbi,Bunza,Gwade,305,305,6,5,0,0,4,4,4,4,4,4,4,4,2,1,140,127,8,8,0,KebbiBunzaGwade01/04/2017-1,TRUE,,,,
18926,1-Apr-17,Kebbi,Bunza,Maidahini,232,232,2,2,0,0,4,2,4,2,4,2,4,2,2,1,100,56,4,2,0,KebbiBunzaMaidahini01/04/2017-1,TRUE,,,,
18927,1-Apr-17,Kebbi,Bunza,Raha-Makeri,315,315,4,4,2,1,7,7,7,7,5,5,5,5,3,3,200,179,12,12,0,KebbiBunzaRaha-Makeri01/04/2017-1,TRUE,,,,
18928,1-Apr-17,Kebbi,Birnin Kebbi,Ujariyo,350,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KebbiBirnin KebbiUjariyo01/04/2017-1,TRUE,,,,
18929,1-Apr-17,Kebbi,Bunza,Salwai,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KebbiBunzaSalwai01/04/2017-1,TRUE,,,,
18930,1-Apr-17,Kebbi,Birnin Kebbi,Nassarawa Ii,1163,1163,45,43,0,0,30,27,27,27,27,27,27,27,25,22,1200,1000,200,200,0,KebbiBirnin KebbiNASSARAWA II01/04/2017-1,TRUE,,,,
18931,1-Apr-17,Kebbi,Bunza,Tunga,325,325,6,6,2,1,4,4,4,4,4,4,4,4,3,3,200,157,8,8,0,KebbiBunzaTunga01/04/2017-1,TRUE,,,,
18932,1-Apr-17,Kebbi,Bunza,Zogirma,452,452,8,8,2,2,3,3,3,3,3,3,3,3,3,3,200,168,6,6,0,KebbiBunzaZogirma01/04/2017-1,TRUE,,,,
18933,1-Apr-17,Kebbi,Dandi,Banizumbu,315,315,5,5,1,1,4,4,4,4,4,4,4,4,2,2,200,190,8,8,0,KebbiDandiBanizumbu01/04/2017-1,TRUE,,,,
18934,1-Apr-17,Kebbi,Dandi,Buma,408,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KebbiDandiBuma01/04/2017-1,TRUE,,,,
18935,1-Apr-17,Kebbi,Dandi,Dolekaina,233,233,5,5,2,2,2,2,2,2,2,2,2,2,4,4,220,200,4,4,0,KebbiDandiDolekaina01/04/2017-1,TRUE,,,,
18936,1-Apr-17,Kebbi,Dandi,Fana,396,396,4,4,0,0,2,2,2,2,2,2,2,2,1,1,140,120,4,4,0,KebbiDandiFana01/04/2017-1,TRUE,,,,
18937,1-Apr-17,Delta,Warri South-West,Ajudaibo,162,162,7,7,5,5,5,5,4,4,4,4,4,4,10,10,232,232,10,13,0,DELTAWarri South WestAjudaibo01/04/20170,FALSE,,,,
18938,1-Apr-17,Kebbi,Bunza,Sabon Birni,284,284,6,6,2,1,4,4,4,4,4,4,4,4,3,3,200,159,8,8,0,KebbiBunzaSabon Birni01/04/2017-1,TRUE,,,,
18939,1-Apr-17,Delta,Warri South,Esisi,558,558,8,8,8,8,4,4,4,4,4,4,4,4,4,4,100,100,40,40,0,DELTAWARRI SOUTHEsisi01/04/20170,FALSE,,,,
18940,1-Apr-17,Bauchi,Tafawa-Balewa,Dull A,368,368,1,1,1,1,1,1,1,1,1,1,1,1,0,0,40,40,3,2,0,BauchiTafawa-BalewaDull A01/04/2017-1,TRUE,,,,
18941,1-Apr-17,Delta,Warri South-West,Orere,262,262,26,26,9,9,9,9,9,9,9,9,9,9,30,30,820,820,21,18,0,DELTAWarri South WestOrere01/04/20170,FALSE,,,,
18942,1-Apr-17,Delta,Warri South,Ubeji,500,500,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,40,40,0,DELTAWARRI SOUTHUbeji01/04/20170,FALSE,,,,
18943,1-Apr-17,Delta,Warri South,Pessu,850,850,5,5,5,5,3,3,3,3,3,3,3,3,3,3,100,100,30,30,0,DELTAWARRI SOUTHPessu01/04/20170,FALSE,,,,
18944,1-Apr-17,Delta,Warri South,Okere,816,816,8,8,8,8,5,5,5,5,5,5,5,5,5,5,100,100,50,50,0,DELTAWARRI SOUTHOkere01/04/20170,FALSE,,,,
18945,1-Apr-17,Delta,Warri South,Ode-Itsekiri,228,228,4,4,4,4,2,2,2,2,2,2,2,2,2,2,100,100,30,30,0,DELTAWARRI SOUTHOde-Itsekiri01/04/20170,FALSE,,,,
18946,1-Apr-17,Kebbi,Birnin Kebbi,Zauro,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KebbiBirnin KebbiZauro01/04/2017-1,TRUE,,,,
18947,1-Apr-17,Delta,Warri South,Igbudu,1100,1100,5,5,5,5,4,4,4,4,4,4,4,4,4,4,100,100,40,40,0,DELTAWARRI SOUTHIgbudu01/04/20170,FALSE,,,,
18948,1-Apr-17,Kebbi,Dandi,Kwakkwaba,238,238,4,4,1,1,2,2,2,2,2,2,2,2,3,3,200,170,4,4,0,KebbiDandiKwakkwaba01/04/2017-1,TRUE,,,,
18949,1-Apr-17,Delta,Warri South,Ekurede,658,658,8,8,8,8,4,4,4,4,4,4,4,4,4,4,100,100,40,40,0,DELTAWARRI SOUTHEkurede01/04/20170,FALSE,,,,
18950,1-Apr-17,Delta,Warri South,Bowen,279,279,5,5,5,5,3,3,3,3,3,3,3,3,3,3,100,100,30,30,0,DELTAWARRI SOUTHBowen01/04/20170,FALSE,,,,
18951,1-Apr-17,Delta,Warri South,Avenue,450,450,5,5,5,5,3,3,3,3,3,3,3,3,3,3,100,100,30,30,0,DELTAWARRI SOUTHAvenue01/04/20170,FALSE,,,,
18952,1-Apr-17,Delta,Warri North,Ebrohimi,217,217,10,10,2,2,6,6,6,6,6,6,6,6,9,9,400,325,12,12,0,DELTAWARRI NORTHEbrohimi01/04/20170,FALSE,,,,
18953,1-Apr-17,Delta,Warri North,Abigborodo,242,242,11,11,4,3,5,5,6,6,5,5,6,6,10,10,350,267,12,12,0,DELTAWARRI NORTHAbigborodo01/04/20170,FALSE,,,,
18954,1-Apr-17,Delta,Warri North,Tsekelewu,210,210,9,9,2,2,7,7,8,8,7,7,8,8,8,8,168,168,16,16,0,DELTAWARRI NORTHTsekelewu01/04/20170,FALSE,,,,
18955,1-Apr-17,Kebbi,Birnin Kebbi,Nassarawa I,885,885,60,59,5,5,20,19,19,19,19,19,19,19,15,14,1200,950,200,200,0,KebbiBirnin KebbiNassarawa I01/04/2017-1,TRUE,,,,
18956,1-Apr-17,Delta,Warri South,Obodo,146,146,6,6,6,6,5,5,5,5,5,5,5,5,5,5,100,100,30,30,0,DELTAWARRI SOUTHObodo01/04/20170,FALSE,,,,
18957,1-Apr-17,Kebbi,Jega,Dumbegu,720,700,20,16,1,1,10,8,10,8,10,8,10,8,25,22,800,600,20,18,0,KebbiJegaDUMBEGU01/04/2017-1,TRUE,,,,
18958,1-Apr-17,Kebbi,Dandi,Geza,312,312,4,4,1,1,3,3,3,3,3,3,3,3,2,2,180,160,6,6,0,KebbiDandiGeza01/04/2017-1,TRUE,,,,
18959,1-Apr-17,Kebbi,Gwandu,Gwandu Marafa,415,415,35,33,10,9,19,14,19,14,19,14,19,14,27,25,1000,795,100,83,0,KebbiGwanduGwandu Marafa01/04/2017-1,TRUE,,,,
