Id,DateVac,State,Lga,Ward,OPVvialsRced,OPVVialsused,DPTvials recd,DPTvials Used,HepBvials recd,HepBvials Used,Measlesvials Recd,MeaslesvialsUsed,MESDiluentsRecd,MESDiluentsUsed,Yellowvials recd,Yellowvials Used,YFDiluentsRecd,YFDiluentsUsed,TTvials recd,TTvials Used,ADsyringeRecd,ADsyringeUsed,ReconsyringeRecd,ReconsyringeUsed,AEFI,uniqvac,IsmainRnd,IPVVials Rced,IPVVials Used,PCVvials recd,PCVvials Used
4938,1-Feb-17,Bauchi,Toro,Rauta/Geji,656,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiToroRauta/Geji01/02/2017-1,TRUE,,,,
4939,1-Feb-17,Borno,Bayo,Jara Gol,225,223,4,4,0,0,3,3,3,3,3,3,3,3,4,4,120,98,6,6,0,BornoBayoJara Gol01/02/2017-1,TRUE,,,,
4940,1-Feb-17,Bauchi,Dass,Lukshi,173,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassLukshi01/02/2017-1,TRUE,,,,
4941,1-Feb-17,Bauchi,Kirfi,Bara,342,342,9,9,0,0,9,9,9,9,3,3,3,3,3,3,187,185,12,12,0,BauchiKirfiBara01/02/2017-1,TRUE,,,,
4942,1-Feb-17,Bauchi,Gamawa,Kofan Romi,352,352,4,0,0,5,5,5,5,5,5,5,5,4,4,185,180,10,10,0,0,BauchiGamawaKofan Romi01/02/2017-1,TRUE,,,,
4943,1-Feb-17,Bauchi,Gamawa,Jadori,264,264,5,0,0,5,5,5,5,5,5,5,5,4,4,225,179,10,10,0,0,BauchiGamawaJadori01/02/2017-1,TRUE,,,,
4944,1-Feb-17,Bauchi,Gamawa,Gololo South,282,282,5,0,0,5,5,5,5,5,5,5,5,0,0,175,150,10,10,0,0,BauchiGamawaGololo South01/02/2017-1,TRUE,,,,
4945,1-Feb-17,Bauchi,Gamawa,Gololo North,287,287,3,0,0,4,4,4,4,4,4,4,4,1,1,120,172,8,8,0,0,BauchiGamawaGololo North01/02/2017-1,TRUE,,,,
4946,1-Feb-17,Bauchi,Gamawa,Gamawa South,597,597,3,0,0,3,3,3,3,3,3,3,3,3,3,130,110,6,6,0,0,BauchiGamawaGamawa South01/02/2017-1,TRUE,,,,
4947,1-Feb-17,Bauchi,Gamawa,Gamawa North,746,746,3,0,0,0,0,0,0,0,0,0,0,0,0,60,30,0,0,0,0,BauchiGamawaGamawa North01/02/2017-1,TRUE,,,,
4948,1-Feb-17,Bauchi,Gamawa,Gadiya,660,660,6,0,0,6,6,6,6,6,6,6,6,3,3,280,201,12,12,0,0,BauchiGamawaGadiya01/02/2017-1,TRUE,,,,
4949,1-Feb-17,Bauchi,Gamawa,Alagarno,384,384,5,0,0,5,5,5,5,5,5,5,5,5,5,225,188,10,10,0,0,BauchiGamawaAlagarno01/02/2017-1,TRUE,,,,
4950,1-Feb-17,Bauchi,Dass,Zumbul,181,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassZumbul01/02/2017-1,TRUE,,,,
