Tally ID,State,Lga,Ward,DateImp,UNQWardRec,No_settlements,NCSchool,NoTeams,FPZERO,FPOTHER,NOHseVist,EligCild,HSEZERO,HSEOTHER,SP_QuranSch,SP_OtherSch,ImmChurch,OUT_other,TotalOUTSIDE,NONCompHH,NC_child,NCHHRevst,NCChildRevst,NCHHpend,NCchildpend,AbHH,AB_child,ABHHRevst,ABChildRevst,ABHHpend,ABchildpend,OTHZERO,OTHOTHER,TOTALOPV,6WKDPT1,6WKDPT2,6WKDPT3,12MTHDPT1,12MTHDPT2,12MTHDPT3,HepB1,HepB2,HepB3,MEASLESU1,MEASLESO1,YellowU1,YellowO1,TT1,TT2plus,VITAU1,VITAO1,PLUS1,PLUS2,PLUS3,Plus Name1,Plus name2,Plus Name3,GWD,AFP,IsmainRnd
38823432,Plateau,Bassa,Kadamo,1-Jul-17,PlateauBassaKadamo01/07/2017-1,31,0,3,8,52,2803,2766,9,2360,24,47,56,181,308,0,0,0,0,0,0,25,31,25,31,0,0,0,0,2759,15,14,11,0,0,0,8,0,0,9,0,9,0,15,12,0,0,0,0,0,,,,0,0,TRUE
40805753,Plateau,Bassa,Kakkek,1-Jul-17,PlateauBassaKakkek01/07/2017-1,63,0,12,7,388,6689,6774,47,4247,0,337,633,562,1532,1,3,1,3,0,0,49,60,49,60,0,0,0,0,6237,6,5,4,0,0,0,3,0,0,2,3,2,3,15,4,0,0,0,0,0,,,,0,0,TRUE
22447356,Plateau,Bassa,Kasuru,1-Jul-17,PlateauBassaKasuru01/07/2017-1,24,0,3,14,65,1749,2233,12,2351,0,112,87,183,382,0,0,0,0,0,0,35,38,35,38,0,0,0,0,2850,12,3,14,0,0,0,9,0,0,12,0,12,0,32,41,0,0,0,0,0,,,,0,0,TRUE
14677183,Plateau,Bassa,Kimikpa,1-Jul-17,PlateauBassaKimikpa01/07/2017-1,11,0,8,15,96,589,1007,17,1139,0,61,79,134,274,0,0,0,0,0,0,8,12,8,12,0,0,0,0,1536,4,5,3,0,0,0,7,0,0,9,2,9,2,8,7,0,0,0,0,0,,,,0,0,TRUE
41641019,Plateau,Bassa,Kishika,1-Jul-17,PlateauBassaKishika01/07/2017-1,25,0,4,0,145,2166,2820,15,2566,0,187,0,387,574,0,0,0,0,0,0,34,39,34,39,0,0,0,0,3324,24,13,18,0,0,0,31,0,0,14,7,14,7,18,31,0,0,0,0,0,,,,0,0,TRUE
50309451,Plateau,Bassa,Mafara,1-Jul-17,PlateauBassaMafara01/07/2017-1,25,0,3,4,185,1190,3219,7,2041,0,125,261,570,956,0,0,0,0,0,0,18,29,18,29,0,0,0,0,3215,44,5,16,0,0,0,18,0,0,49,4,49,4,81,3,0,0,0,0,0,,,,0,0,TRUE
31157405,Plateau,Bassa,Rimi,1-Jul-17,PlateauBassaRimi01/07/2017-1,6,0,3,0,106,137,2235,25,2076,0,104,164,135,403,0,0,0,0,0,0,59,83,59,83,0,0,0,0,2668,12,10,14,0,0,0,7,0,0,12,0,12,0,24,11,0,0,0,0,0,,,,0,0,TRUE
49534014,Plateau,Bassa,Taagbe,1-Jul-17,PlateauBassaTaagbe01/07/2017-1,16,0,2,0,26,1438,1511,13,1191,0,53,50,193,296,0,0,0,0,0,0,19,26,19,26,0,0,0,0,1539,8,10,10,0,0,0,11,0,0,6,0,6,0,14,16,0,0,0,0,0,,,,0,0,TRUE
40951003,Plateau,Bassa,Tahu,1-Jul-17,PlateauBassaTahu01/07/2017-1,15,0,3,5,20,2031,2868,15,2431,0,198,140,354,692,0,0,0,0,0,0,27,34,27,34,0,0,0,0,3182,6,8,8,0,0,0,11,0,0,9,0,9,0,22,13,0,0,0,0,0,,,,0,0,TRUE
32951301,Plateau,Bassa,Zabolo,1-Jul-17,PlateauBassaZabolo01/07/2017-1,37,0,7,10,151,3439,1579,24,3467,20,109,141,155,425,0,0,0,0,0,0,52,66,52,66,0,0,0,0,4119,10,9,9,0,0,0,20,0,0,7,11,7,11,15,30,0,0,0,0,0,,,,0,0,TRUE
