Tally ID,State,Lga,Ward,DateImp,UNQWardRec,No_settlements,NCSchool,NoTeams,FPZERO,FPOTHER,NOHseVist,EligCild,HSEZERO,HSEOTHER,SP_QuranSch,SP_OtherSch,ImmChurch,OUT_other,TotalOUTSIDE,NONCompHH,NC_child,NCHHRevst,NCChildRevst,NCHHpend,NCchildpend,AbHH,AB_child,ABHHRevst,ABChildRevst,ABHHpend,ABchildpend,OTHZERO,OTHOTHER,TOTALOPV,6WKDPT1,6WKDPT2,6WKDPT3,12MTHDPT1,12MTHDPT2,12MTHDPT3,HepB1,HepB2,HepB3,MEASLESU1,MEASLESO1,YellowU1,YellowO1,TT1,TT2plus,VITAU1,VITAO1,PLUS1,PLUS2,PLUS3,Plus Name1,Plus name2,Plus Name3,GWD,AFP,IsmainRnd
22791712,Katsina,Matazu,Rinjin Idi,1-Mar-17,KatsinaMatazuRinjin Idi01/03/2017-1,20,0,5,0,0,1401,2672,3,2541,0,57,0,572,629,4,7,2,4,2,3,43,58,39,51,4,7,0,0,3225,20,16,29,0,0,0,20,16,29,41,0,41,0,18,25,0,0,700,2820,0,WHISTLE,SWEET,,0,0,TRUE
21110224,Katsina,Matazu,Sayaya,1-Mar-17,KatsinaMatazuSayaya01/03/2017-1,65,0,11,4,72,5239,10031,130,9368,0,22,0,845,867,15,29,12,17,3,12,99,224,98,222,1,2,0,0,10550,28,24,20,0,0,0,28,24,20,67,0,67,0,56,13,0,0,2440,8880,0,WHISTLE,SWEET,,0,0,TRUE
24732755,Katsina,Musawa,Dangani,1-Mar-17,KatsinaMusawaDangani01/03/2017-1,12,0,12,0,182,4320,9612,119,8693,108,48,0,1444,1600,36,72,14,30,22,42,182,304,167,281,15,23,0,0,10786,36,27,24,0,0,0,0,0,0,54,0,54,0,35,32,0,0,10786,400,0,Sweets,Others,,0,1,TRUE
32297185,Katsina,Musawa,Danjanku-Karachi,1-Mar-17,KatsinaMusawaDanjanku-Karachi01/03/2017-1,10,0,9,0,51,2633,5684,99,5002,0,108,12,740,860,5,12,3,10,2,2,140,204,139,203,1,1,0,0,6126,15,11,12,0,0,0,10,0,0,21,0,21,0,15,9,0,0,6126,0,0,Sweets,Others,,0,0,TRUE
16857074,Katsina,Musawa,Garu,1-Mar-17,KatsinaMusawaGaru01/03/2017-1,9,0,9,10,36,2076,4458,49,3873,25,51,0,372,448,22,44,8,13,14,31,133,206,130,196,3,10,0,0,4576,63,51,34,0,0,0,0,0,0,55,0,55,0,33,20,0,0,4576,200,0,Sweets,Others,,0,0,TRUE
20949835,Katsina,Musawa,Gingin,1-Mar-17,KatsinaMusawaGingin01/03/2017-1,12,0,8,13,106,2676,5337,72,4858,0,52,0,788,840,9,18,5,9,4,9,139,193,118,161,21,29,0,0,5987,28,17,15,0,0,0,10,0,0,45,185,39,0,23,8,0,0,5990,0,0,Sweets,Others,,0,0,TRUE
19864313,Katsina,Musawa,Jikamshi,1-Mar-17,KatsinaMusawaJikamshi01/03/2017-1,10,0,7,7,159,3118,3992,54,3343,90,116,34,600,840,93,141,66,98,27,43,318,426,293,381,25,45,0,0,4828,22,15,21,0,0,0,0,0,0,99,0,99,0,40,35,0,0,4828,400,0,Sweets,Others,,0,0,TRUE
16670316,Katsina,Musawa,Kira,1-Mar-17,KatsinaMusawaKira01/03/2017-1,9,0,9,0,39,2415,4003,48,3460,0,69,0,167,236,40,82,33,62,7,20,169,246,167,242,2,4,0,0,4039,27,22,19,0,0,0,0,0,0,52,0,52,0,40,5,0,0,4039,200,0,Sweets,Others,,0,0,TRUE
5066159,Katsina,Musawa,Kurkujan A,1-Mar-17,KatsinaMusawaKurkujan A01/03/2017-1,9,0,9,5,13,1935,3511,48,3168,20,106,0,806,932,14,26,14,26,0,0,120,187,120,187,0,0,0,0,4331,20,17,16,0,0,0,0,0,0,45,115,34,0,18,24,0,0,4331,0,0,Sweets,Others,,0,0,TRUE
15753424,Katsina,Musawa,Kurkujan B,1-Mar-17,KatsinaMusawaKurkujan B01/03/2017-1,6,0,6,9,108,2091,5165,44,4467,22,30,18,350,420,1,1,1,1,0,0,117,195,107,182,10,13,0,0,5187,28,24,21,0,0,0,2,0,0,182,0,78,0,32,21,0,0,5187,0,0,Sweets,Others,,0,0,TRUE
