Tally ID,State,Lga,Ward,DateImp,UNQWardRec,No_settlements,NCSchool,NoTeams,FPZERO,FPOTHER,NOHseVist,EligCild,HSEZERO,HSEOTHER,SP_QuranSch,SP_OtherSch,ImmChurch,OUT_other,TotalOUTSIDE,NONCompHH,NC_child,NCHHRevst,NCChildRevst,NCHHpend,NCchildpend,AbHH,AB_child,ABHHRevst,ABChildRevst,ABHHpend,ABchildpend,OTHZERO,OTHOTHER,TOTALOPV,6WKDPT1,6WKDPT2,6WKDPT3,12MTHDPT1,12MTHDPT2,12MTHDPT3,HepB1,HepB2,HepB3,MEASLESU1,MEASLESO1,YellowU1,YellowO1,TT1,TT2plus,VITAU1,VITAO1,PLUS1,PLUS2,PLUS3,Plus Name1,Plus name2,Plus Name3,GWD,AFP,IsmainRnd
101373860,Kebbi,Birnin Kebbi,Marafa,1-Apr-17,KebbiBirnin KebbiMarafa01/04/2017-1,16,0,18,0,1123,4319,6480,31,6333,536,0,0,1084,1620,60,98,29,49,31,49,120,186,120,186,0,0,0,2378,11689,28,37,44,109,0,0,0,0,0,100,0,100,0,18,13,31,0,12000,0,0,Others,,,0,1,TRUE
277049974,Kebbi,Fakai,Marafa,1-Apr-17,KebbiFakaiMarafa01/04/2017-1,83,0,13,0,0,3070,5166,19,5023,101,0,0,663,764,0,0,0,0,0,0,76,103,76,103,0,0,0,0,5890,22,39,21,0,0,0,7,0,0,26,0,26,0,20,0,0,0,1500,0,0,Sweets,,,0,2,TRUE
169581957,Zamfara,Maradun,Maradun South,1-Apr-17,ZamfaraMaradunMaradun South01/04/2017-1,47,0,9,0,178,3727,6339,68,6267,482,739,0,2048,3269,0,0,0,0,0,0,161,243,140,207,21,36,0,0,9921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,7250,250,whistles,Sweets,Satchet milk,0,0,TRUE
14649323,Zamfara,Maradun,Maradun North,1-Apr-17,ZamfaraMaradunMaradun North01/04/2017-1,42,0,8,0,166,3610,7255,51,7106,476,78,0,834,1388,0,0,0,0,0,0,89,149,89,149,0,0,0,0,8809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,6800,250,whistles,Sweets,Satchet milk,0,0,TRUE
447393999,Jigawa,Kazaure,Maradawa,1-Apr-17,JigawaKazaureMaradawa01/04/2017-1,20,0,5,0,141,1266,2027,8,1626,0,0,0,162,162,0,0,0,0,0,0,86,135,86,135,0,0,0,0,2064,30,27,27,0,0,0,0,0,0,17,0,17,0,15,9,0,0,2064,0,0,Sweets,,,0,0,TRUE
409660290,Katsina,Dan Musa,Mara B,1-Apr-17,KatsinaDan MusaMara B01/04/2017-1,78,0,10,10,161,3900,6807,92,6442,122,39,0,624,785,19,33,16,30,3,3,241,336,232,323,9,13,0,0,7751,25,24,20,0,0,0,0,0,0,36,0,36,0,34,35,0,0,7751,0,0,Sweets,,,0,0,TRUE
122473578,Katsina,Dan Musa,Mara A,1-Apr-17,KatsinaDan MusaMara A01/04/2017-1,54,0,10,0,106,4473,7169,65,6604,211,0,0,885,1096,0,0,0,0,0,0,290,390,288,388,2,2,0,0,8194,29,9,22,0,0,0,0,0,0,45,0,45,0,39,22,0,0,8194,0,0,Sweets,,,0,0,TRUE
454286656,Bauchi,Toro,Mara,1-Apr-17,BauchiToroMara01/04/2017-1,62,0,14,27,425,3989,7427,38,5637,38,0,19,1339,1396,56,81,46,66,10,15,101,146,101,146,0,0,0,1830,9527,17,15,15,0,0,0,27,0,0,27,0,27,0,11,7,0,0,9543,0,1,Sweets,Detergent,,0,0,TRUE
279366931,Adamawa,Jada,Mapeo,1-Apr-17,AdamawaJadaMapeo01/04/2017-1,75,0,6,1,53,2507,3521,8,3459,0,0,35,162,197,0,0,0,0,0,0,54,63,54,63,0,0,0,0,3773,23,19,21,0,0,0,0,0,0,31,0,31,0,22,27,0,0,0,0,0,,,,0,1,TRUE
263074564,Taraba,Takum,Manya,1-Apr-17,TarabaTakumManya01/04/2017-1,57,0,8,0,6,3236,3150,14,2146,0,0,49,786,835,0,0,0,0,0,0,129,163,129,163,0,0,0,0,3150,14,12,11,0,0,0,5,0,0,29,0,29,0,22,15,0,0,0,0,0,Satchet milk,Biscuits,Sweets,0,0,TRUE
