Tally ID,State,Lga,Ward,DateImp,UNQWardRec,No_settlements,NCSchool,NoTeams,FPZERO,FPOTHER,NOHseVist,EligCild,HSEZERO,HSEOTHER,SP_QuranSch,SP_OtherSch,ImmChurch,OUT_other,TotalOUTSIDE,NONCompHH,NC_child,NCHHRevst,NCChildRevst,NCHHpend,NCchildpend,AbHH,AB_child,ABHHRevst,ABChildRevst,ABHHpend,ABchildpend,OTHZERO,OTHOTHER,TOTALOPV,6WKDPT1,6WKDPT2,6WKDPT3,12MTHDPT1,12MTHDPT2,12MTHDPT3,HepB1,HepB2,HepB3,MEASLESU1,MEASLESO1,YellowU1,YellowO1,TT1,TT2plus,VITAU1,VITAO1,PLUS1,PLUS2,PLUS3,Plus Name1,Plus name2,Plus Name3,GWD,AFP,IsmainRnd
1456782518,Yobe,Yunusari,Mosogun/Kujari,1-Jan-17,YobeYunusariMosogun/Kujari01/01/2017-1,41,0,8,0,54,1762,3172,11,3070,0,0,0,145,145,16,40,16,40,0,0,37,62,35,58,2,4,0,0,3367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,300,0,Sweets,Soap,,0,0,TRUE
-2072989697,Yobe,Yunusari,Toshia,1-Jan-17,YobeYunusariToshia01/01/2017-1,54,0,14,8,56,2122,3724,33,3687,0,0,0,40,40,4,7,3,6,1,1,21,30,19,28,2,2,0,0,3825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,400,0,Sweets,Soap,,0,0,TRUE
-894563884,Yobe,Yunusari,Yunusari,1-Jan-17,YobeYunusariYunusari01/01/2017-1,85,0,18,0,361,4387,4949,36,4650,230,0,0,916,1146,97,216,45,110,52,106,41,83,41,83,0,0,0,0,6350,10,15,10,0,0,0,9,0,0,38,0,38,0,15,30,0,0,6000,800,0,Sweets,Soap,,0,0,TRUE
1315713605,Yobe,Yunusari,Zajibiriri/Dumbol,1-Jan-17,YobeYunusariZajibiriri/Dumbol01/01/2017-1,69,0,7,6,114,2585,3272,14,2996,0,0,0,86,86,83,156,0,0,83,156,95,120,77,99,18,21,0,0,3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,300,0,Sweets,Soap,,0,0,TRUE
-160508894,Yobe,Yusufari,Bulatura,1-Jan-17,YobeYusufariBulatura01/01/2017-1,62,0,5,12,198,3378,4700,13,4533,84,65,0,316,465,42,79,21,39,21,40,43,83,36,64,7,19,0,0,5311,11,9,16,0,0,0,11,9,16,18,0,18,0,16,11,0,0,4101,1210,0,Sweets,Soap,,0,0,TRUE
-1030629893,Yobe,Yusufari,Gumshi,1-Jan-17,YobeYusufariGumshi01/01/2017-1,31,0,5,3,42,2312,3190,13,2728,0,0,0,120,120,18,43,5,6,13,37,33,47,33,47,0,0,0,0,2946,7,4,6,0,0,0,7,4,6,9,0,9,0,2,3,0,0,2011,935,0,Sweets,Soap,,0,0,TRUE
295837472,Yobe,Yusufari,Guya,1-Jan-17,YobeYusufariGuya01/01/2017-1,56,0,5,2,214,2726,4083,28,3444,35,0,0,260,295,4,8,0,0,4,8,73,128,73,128,0,0,0,0,4083,14,10,11,0,0,0,14,10,11,28,0,28,0,16,21,0,0,3165,918,0,Sweets,Soap,,0,0,TRUE
-378128223,Yobe,Yusufari,Jebuwa,1-Jan-17,YobeYusufariJebuwa01/01/2017-1,48,0,5,2,99,1914,2780,11,2621,0,0,0,95,95,6,14,6,14,0,0,27,48,27,48,0,0,0,0,2879,5,9,4,0,0,0,5,9,4,18,0,18,0,13,14,0,0,2065,814,0,Sweets,Soap,,0,0,TRUE
65575502,Yobe,Yusufari,Kumagannam,1-Jan-17,YobeYusufariKumagannam01/01/2017-1,67,0,10,4,249,2678,4257,9,3957,0,0,0,367,367,62,142,54,129,8,13,96,175,84,153,12,22,0,0,4859,21,22,20,0,0,0,21,22,20,27,0,27,0,28,15,0,0,3718,1141,0,Sweets,Soap,,0,0,TRUE
939865015,Yobe,Yusufari,Maimalari,1-Jan-17,YobeYusufariMaimalari01/01/2017-1,39,0,4,1,218,1824,2882,12,2672,0,0,0,135,135,0,0,0,0,0,0,25,47,22,39,3,8,0,0,3065,7,9,9,0,0,0,7,9,9,15,0,15,0,7,11,0,0,2565,500,0,Sweets,Soap,,0,0,TRUE
