Id,Campaign Type,IPDs Round,Timeline,State,LGA,Social mobilization plan/implementation,High risk Operational Plan,Evidence of LGA task force meeting,Meeting of Ward selection Committees to review performance,Updated micro-plan,Training Plan implementation,Social mobilization funds received at LGA Level,Border synchronization planning meeting,Security agents conducted assessment,IPD plan adjusted based on security assessment (if applicable),Logistics funds received,LGAs/State counterpart funding received
SIA 17-Jan 3 weeks ABIA ABA NORTH,SIA,17-Jan,3 weeks,Abia,Aba North,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA ABA SOUTH,SIA,17-Jan,3 weeks,Abia,Aba South,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA AROCHUKWU,SIA,17-Jan,3 weeks,Abia,Arochukwu,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA BENDE,SIA,17-Jan,3 weeks,Abia,Bende,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA IKWUANO,SIA,17-Jan,3 weeks,Abia,Ikwuano,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA ISIALA-NGWA NORTH,SIA,17-Jan,3 weeks,Abia,Isiala-Ngwa North,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA ISIALA-NGWA SOUTH,SIA,17-Jan,3 weeks,Abia,Isiala-Ngwa South,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA ISUIKWUATO,SIA,17-Jan,3 weeks,Abia,Isuikwuato,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA OBI NWGA,SIA,17-Jan,3 weeks,Abia,Obi Nwga,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA OHAFIA,SIA,17-Jan,3 weeks,Abia,Ohafia,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA OSISIOMA NGWA,SIA,17-Jan,3 weeks,Abia,Osisioma Ngwa,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA UGWUNAGBO,SIA,17-Jan,3 weeks,Abia,Ugwunagbo,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA UKWA EAST,SIA,17-Jan,3 weeks,Abia,Ukwa East,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA UKWA WEST,SIA,17-Jan,3 weeks,Abia,Ukwa West,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA UMUAHIA NORTH,SIA,17-Jan,3 weeks,Abia,Umuahia North,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA UMUAHIA SOUTH,SIA,17-Jan,3 weeks,Abia,Umuahia South,,,,,,,,,,,,
SIA 17-Jan 3 weeks ABIA UMU-NNEOCHI,SIA,17-Jan,3 weeks,Abia,Umu-Nneochi,,,,,,,,,,,,
SIA 17-Jan 3 weeks ADAMAWA DEMSA,SIA,17-Jan,3 weeks,Adamawa,Demsa,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA FUFORE,SIA,17-Jan,3 weeks,Adamawa,Fufore,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA GANYE,SIA,17-Jan,3 weeks,Adamawa,Ganye,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA GIRIE,SIA,17-Jan,3 weeks,Adamawa,Girie,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA GOMBI,SIA,17-Jan,3 weeks,Adamawa,Gombi,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA GUYUK,SIA,17-Jan,3 weeks,Adamawa,Guyuk,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA HONG,SIA,17-Jan,3 weeks,Adamawa,Hong,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA JADA,SIA,17-Jan,3 weeks,Adamawa,Jada,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA LARMURDE,SIA,17-Jan,3 weeks,Adamawa,Larmurde,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA MADAGALI,SIA,17-Jan,3 weeks,Adamawa,Madagali,No,No,No,60%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA MAIHA,SIA,17-Jan,3 weeks,Adamawa,Maiha,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA MAYO-BELWA,SIA,17-Jan,3 weeks,Adamawa,Mayo-Belwa,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA MICHIKA,SIA,17-Jan,3 weeks,Adamawa,Michika,No,No,No,50%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA MUBI NORTH,SIA,17-Jan,3 weeks,Adamawa,Mubi North,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA MUBI SOUTH,SIA,17-Jan,3 weeks,Adamawa,Mubi South,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA NUMAN,SIA,17-Jan,3 weeks,Adamawa,Numan,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA SHELLENG,SIA,17-Jan,3 weeks,Adamawa,Shelleng,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA SONG,SIA,17-Jan,3 weeks,Adamawa,Song,No,No,No,91%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA TEUNGO,SIA,17-Jan,3 weeks,Adamawa,Teungo,No,No,No,100%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA YOLA NORTH,SIA,17-Jan,3 weeks,Adamawa,Yola North,No,No,No,91%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks ADAMAWA YOLA SOUTH,SIA,17-Jan,3 weeks,Adamawa,Yola South,No,No,No,91%,No,No,Yes,,,,,No
SIA 17-Jan 3 weeks AKWA IBOM ABAK,SIA,17-Jan,3 weeks,Akwa Ibom,Abak,,,,,,,,,,,,
SIA 17-Jan 3 weeks AKWA IBOM EASTERN OBOLO,SIA,17-Jan,3 weeks,Akwa Ibom,Eastern Obolo,,,,,,,,,,,,
SIA 17-Jan 3 weeks AKWA IBOM EKET,SIA,17-Jan,3 weeks,Akwa Ibom,Eket,,,,,,,,,,,,
SIA 17-Jan 3 weeks AKWA IBOM ESIT EKET,SIA,17-Jan,3 weeks,Akwa Ibom,Esit Eket,,,,,,,,,,,,
SIA 17-Jan 3 weeks AKWA IBOM ESSIEN UDIM,SIA,17-Jan,3 weeks,Akwa Ibom,Essien Udim,,,,,,,,,,,,
SIA 17-Jan 3 weeks AKWA IBOM ETIM EKPO,SIA,17-Jan,3 weeks,Akwa Ibom,Etim Ekpo,,,,,,,,,,,,
SIA 17-Jan 3 weeks AKWA IBOM ETINAN,SIA,17-Jan,3 weeks,Akwa Ibom,Etinan,,,,,,,,,,,,
